mes,fila,DD,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
mes_02,22,23,94,88,81,74,67,65,68,75,81,83,82,76,68,59,50,42,37,34,39,51,66,79,89,95
mes_02,23,24,96,92,86,78,71,65,64,69,78,84,87,86,81,73,63,54,45,38,36,40,52,66,79,89
mes_02,24,25,95,95,91,84,76,69,64,64,70,79,86,91,91,87,80,70,60,51,43,39,42,53,66,78
mes_02,25,26,87,93,93,88,82,75,68,63,63,69,79,87,93,96,94,88,79,70,59,49,44,45,54,65
mes_02,26,27,75,84,89,89,85,80,73,65,60,60,67,77,87,96,101,101,97,90,80,69,57,50,50,55
mes_02,27,28,63,72,80,84,84,81,76,69,61,56,56,64,74,86,98,105,108,106,100,90,77,65,56,54
mes_03,0,1,56,61,69,76,79,79,77,71,63,54,50,52,60,71,85,99,109,113,113,108,97,84,72,62
mes_03,1,2,57,58,61,68,73,75,75,72,65,56,48,45,47,55,69,85,100,111,116,117,112,101,88,76
mes_03,2,3,66,60,59,63,69,72,74,72,67,58,49,42,39,42,52,67,85,100,111,117,118,111,101,89
mes_03,3,4,77,66,61,62,66,71,74,74,70,63,53,45,38,36,39,51,67,85,100,110,115,115,108,97
mes_03,4,5,86,74,65,62,65,70,75,76,75,70,61,51,43,37,34,39,52,68,84,98,108,111,109,101
mes_03,5,6,92,80,70,63,63,68,74,78,79,77,70,61,52,44,38,36,42,54,69,85,97,104,106,102
mes_03,6,7,94,84,73,64,61,65,70,77,81,81,78,72,63,54,46,41,40,47,58,72,85,95,101,101
mes_03,7,8,95,86,76,67,61,61,66,72,79,82,82,79,73,65,57,50,46,47,54,64,76,87,94,97
mes_03,8,9,95,89,79,69,62,59,62,68,74,80,83,82,79,74,67,60,55,52,54,61,70,80,88,93
mes_03,9,10,94,90,82,73,65,60,59,64,70,76,81,83,82,79,74,68,63,59,59,62,69,76,84,89
mes_03,10,11,92,90,84,76,68,62,59,61,67,73,78,82,83,82,78,74,69,65,64,64,69,75,81,86
mes_03,11,12,89,89,85,79,71,64,60,59,63,70,76,81,84,85,83,79,75,71,68,67,69,74,79,83
mes_03,12,13,86,87,85,80,73,66,60,58,59,64,72,78,84,87,87,84,81,77,73,70,70,72,77,80
mes_03,13,14,83,84,83,80,74,67,61,57,55,58,65,74,81,87,90,90,88,84,80,76,72,72,74,78
mes_03,14,15,79,80,80,78,74,68,62,56,52,52,57,65,74,82,90,94,94,91,88,84,78,75,74,75
mes_03,15,16,76,76,76,76,73,68,63,57,51,48,49,55,64,74,84,92,96,97,95,92,86,81,77,75
mes_03,16,17,74,73,73,73,72,68,63,59,52,46,44,46,53,62,74,85,94,98,99,98,94,88,82,78
mes_03,17,18,74,72,71,71,71,69,65,60,55,48,43,42,44,50,62,74,86,95,99,100,99,94,88,82
mes_03,18,19,77,72,70,71,72,71,68,64,58,51,45,41,40,42,49,62,76,87,95,99,100,97,92,86
mes_03,19,20,80,74,70,71,73,75,74,70,64,57,49,43,39,38,40,49,63,77,88,95,99,98,95,89
mes_03,20,21,83,77,71,69,73,77,79,78,73,66,57,49,43,38,36,39,50,65,79,89,96,98,97,92
mes_03,21,22,86,79,72,68,69,77,83,85,83,78,69,59,50,43,37,35,39,51,66,80,90,96,97,94
mes_03,22,23,89,82,74,68,66,71,81,88,91,89,83,73,63,53,44,37,35,40,52,67,80,90,95,96
mes_03,23,24,92,86,78,70,65,66,73,84,92,95,94,88,78,68,57,47,39,36,41,53,67,79,88,93
mes_03,24,25,93,89,82,74,68,64,66,74,86,94,98,98,93,84,74,62,52,43,39,42,53,65,77,85
mes_03,25,26,90,89,85,78,71,65,62,65,74,85,94,99,101,98,91,81,70,59,49,43,45,53,63,73
mes_03,26,27,80,85,84,81,75,69,62,59,62,71,82,92,100,104,103,98,90,79,67,55,48,48,54,61
mes_03,27,28,69,75,79,79,76,71,65,58,55,58,67,78,89,100,106,108,105,98,88,75,62,54,52,54
mes_03,28,29,59,66,71,74,74,71,66,59,52,50,53,62,73,87,99,108,111,110,104,94,80,68,59,55
mes_03,29,30,55,59,65,69,71,70,67,61,53,47,44,48,57,70,85,99,108,113,113,107,97,84,72,62
mes_03,30,31,58,57,61,66,69,70,69,64,56,48,42,40,43,53,68,84,98,108,113,113,106,96,84,73
mes_04,0,1,64,60,60,65,70,72,72,69,62,53,45,39,37,41,52,68,84,97,106,111,110,103,93,82
mes_04,1,2,71,63,62,65,70,75,77,76,71,62,53,45,39,37,42,54,69,84,96,104,107,104,97,88
mes_04,2,3,77,67,62,64,69,76,80,82,79,73,65,56,48,41,40,46,57,70,84,94,101,102,98,90
mes_04,3,4,81,71,63,62,67,74,81,85,86,82,76,68,60,51,45,45,52,61,73,85,93,97,96,91
mes_04,4,5,83,74,65,61,63,70,78,85,89,88,85,79,71,63,55,51,52,58,66,77,86,92,94,91
mes_04,5,6,85,76,67,61,61,66,73,81,88,91,89,86,80,73,65,58,56,58,64,71,80,87,91,90
mes_04,6,7,86,79,70,62,59,62,69,77,85,90,91,89,85,79,72,65,61,61,64,70,76,83,87,88
mes_04,7,8,86,81,72,64,59,60,65,73,81,88,91,91,88,84,77,70,65,63,64,69,74,80,84,86
